bairro_origem,bairro_destino,logradouro,observacao,peso
Boa Vista,Coelhos,R. da Santa Cruz+R. Sao Gonçalo,2ruas,4.0
Boa Vista,Ilha Joana Bezerra,R. da Santa Cruz+Ponte Viaduto Joaquim Cardozo+R. Pref. Jorge Martins,1ponte+2ruas,4.5
Cabanga,Ilha Do Leite,Av. Agamenon Magalhaes,1av,1.0
Cabanga,Paissandu,Av. Agamenon Magalhaes,1av,1.0
Cabanga,Santo Antonio,Av. Sul Gov. Cid Sampaio+Ponte Viaduto Joaquim Cardozo+R. Dr. Jose Mariano+Ponte Boa Vista ,1av+2pontes+1rua,4.0
Cabanga,Sao Jose,Av. Sul Gov. Cid Sampaio,1av,1.0
Cabanga,Soledade,Av. Agamenon Magalhaes+R. Jose de Alencar+R. da Soledade,1av+2ruas,5.0
Cabanga,Coelhos,Av. Sul Gov. Cid Sampaio+Ponte Viaduto Joaquim Cardozo,1av+1ponte,1.5
Cabanga,Ilha Joana Bezerra,R. Luis Pinheiro+R. Pref. Jorge Martins,2ruas,4.0
Ilha Do Leite,Paissandu,R. Estado de Israel+R. Gen. Joaquim Inacio,2ruas,4.0
Ilha Do Leite,Santo Antonio,R. Dr. Jose Mariano+Ponte Boa Vista,1rua+1ponte,2.5
Ilha Do Leite,Sao Jose,Ponte Viaduto Joaquim Cardozo+Av. Sul Gov. Cid Sampaio,1av+1ponte,1.5
Ilha Do Leite,Soledade,R. Jose de Alencar+R. da Soledade,2ruas,4.0
Ilha Do Leite,Coelhos,R. do Jasmin,1rua,2.0
Ilha Do Leite,Ilha Joana Bezerra,Av. Agamenon Magalhaes,1av,1.0
Paissandu,Santo Antonio,R. Antonio Gomes de Freitas+R. do Jasmin+R. Dr. Jose Mariano+Ponte Boa Vista,3ruas+1ponte,6.5
Paissandu,Sao Jose,R. Francisco Alves+Ponte Viaduto Joaquim Cardozo+Av. Sul Gov. Cid Sampaio+R. Imperial,2ruas+1av+1ponte,5.5
Paissandu,Soledade,R. Antonio Gomes de Freitas+Rua Marques de Amorim+R. da Soledade,3ruas,6.0
Paissandu,Coelhos,R. Antonio Gomes de Freitas+R. do Jasmin,2ruas,4.0
Paissandu,Ilha Joana Bezerra,Av. Agamenon Magalhaes,1av,1.0
Santo Antonio,Sao Jose,R. Floriano Peixoto+R. do Peixoto,2ruas,4.0
Santo Antonio,Soledade,R. Floriano Peixoto+R. Velha+R. da Matriz+Av. Manoel Borba+R. da Soledade,4ruas+1av,9.0
Santo Antonio,Coelhos,R. Floriano Peixoto+R. Velha+R. da Gloria+R. Sao Gonçalo,4ruas,8.0
