bairro_origem,bairro_destino,logradouro,observacao,peso
Casa Amarela,Jaqueira,R. Conselheiro Nabuco+Estr. do Encanamento,avenida+avenida,2.0
Casa Amarela,Monteiro,Estr. do Arraial,avenida,1.0
Casa Amarela,Parnamirim,Estr. do Arraial+Estr. do Encanamento,avenida+avenida,2.0
Casa Amarela,Poco,R. Mal. Rondon+Estr. do Arraial,rua+avenida,3.0
Casa Amarela,Santana,Estrada das Ubaias+Av. Dezessete de Agosto,avenida+avenida,2.0
Casa Amarela,Sitio Dos Pintos,Av. Norte Miguel Arraes de Alencar+Av. da Recuperacao+R. Manuel Medeiros,avenida+avenida+rua,4.0
Casa Amarela,Tamarineira,Av. Prof. José dos Anjos,avenida,1.0
Casa Forte,Derby,Av. Dezessete de Agosto+Av. Rui Barbosa,avenida+avenida,2.0
Casa Forte,Dois Irmaos,Av. Dezessete de Agosto+R. de Apipucos+R. Dois Irmãos,rua+rua+avenida,5.0
Casa Forte,Espinheiro,Av. Dezessete de Agosto+R. Quarenta e Oito,avenida+rua,3.0
Casa Forte,Gracas,Av. Dezessete de Agosto+Av. Rui Barbosa,avenida+avenida,2.0
Casa Forte,Jaqueira,R. Afonso de Albuquerque Melo,rua,2.0
Casa Forte,Monteiro,Av. Dezessete de Agosto,avenida,1.0
Casa Forte,Parnamirim,Av. Dezessete de Agosto,avenida,1.0
Casa Forte,Poco,Praça de Casa Forte+Estr. Real do Poço,rua+avenida,3.0
Casa Forte,Santana,R. Sant'Anna,rua,2.0
Casa Forte,Sitio Dos Pintos,Av. Dezessete de Agosto+Estr. dos Pintos,avenida+avenida,2.0
Casa Forte,Tamarineira,R. Padre Roma+Av. Dezessete de Agosto,avenida+rua,3.0
Derby,Dois Irmaos,Av. Caxangá,avenida,1.0
Derby,Espinheiro,R. das Creoulas+R. do Espinheiro,rua+rua,4.0
Derby,Gracas,R. Amaro Bezerra+R. Jener da Souza,rua+rua,4.0
Derby,Jaqueira,Av. Conselheiro Rosa e Silva,avenida,1.0
Derby,Monteiro,Av. Conselheiro Rosa e Silva+Estr. do Arraial,avenida+avenida,2.0
Derby,Parnamirim,Av. Beira Rio+R. Jose Bonifacio,avenida+rua,3.0
Derby,Poco,Av. Beira Rio+R. Jose Bonifacio+Av Dezessete de Agosto,avenida+avenida+rua,4.0
Derby,Santana,Av. Beira Rio+R. Marcos André,rua+avenida,3.0
Derby,Sitio Dos Pintos,Av. Caxangá+Rod. Governador Mario Covas,avenida+rodovia+ponte+ponte,2.5
Derby,Tamarineira,Av. Conselheiro Rosa e Silva+Av. Norte Miguel Arraes Alencar,avenida+avenida,2.0
Dois Irmaos,Espinheiro,Av. Norte Miguel Arraes de Alencar,avenida+ponte,1.5
Dois Irmaos,Gracas,Av. Dezessete de Agosto+Av. Norte Miguel Arraes de Alencar,avenida+avenida,2.0
Dois Irmaos,Jaqueira,Av. Dezessete de Agosto+Av. Norte Miguel Arraes de Alencar,avenida+avenida+ponte,2.5
Dois Irmaos,Monteiro,R. Caetes+R. de Apipucos,rua+rua,4.0
Dois Irmaos,Parnamirim,Av. Dezessete de Agosto+R. de Apipucos+R. Caetes,rua+rua+avenida,5.0
Dois Irmaos,Poco,R. de Apipucos+R. Caetes,rua+rua,4.0
Dois Irmaos,Santana,Av. Dezessete de Agosto+R. de Apipucos+R. Caetes,rua+rua+avenida,5.0
Dois Irmaos,Sitio Dos Pintos,R. Manuel de Medeiros and Estr. dos Pintos,rua+avenida,3.0
Dois Irmaos,Tamarineira,Av. Norte Miguel Arraes de Alencar+Av. Prof. José dos Anjos,avenida+avenida,2.0
Espinheiro,Gracas,R. Barão de Itamaracá,rua,2.0
Espinheiro,Jaqueira,Av. Conselheiro Rosa e Silva,avenida,1.0
Espinheiro,Monteiro,Av. Conselheiro Rosa e Silva+Estr. do Arraial,avenida+avenida,2.0
Espinheiro,Parnamirim,Av. Conselheiro Rosa e Silva+Estr. do Arraial,avenida+avenida,2.0
Espinheiro,Poco,Av. Dezessete de Agosto+Av. Conselheiro Rosa e Silva+Estr. do Arraial,avenida+avenida+avenida,3.0
Espinheiro,Santana,Av. Conselheiro Rosa e Silva+Av. Dezessete de Agosto,avenida+avenida,2.0
Espinheiro,Sitio Dos Pintos,Av. Conselheiro Rosa e Silva+Estr. do Arraial+R. de Apipucos+R. Manuel Medeiros,avenida+avenida+rua+rua,6.0
Espinheiro,Tamarineira,Av. Norte Miguel Arraes de Alencar,avenida,1.0
Gracas,Jaqueira,Av. Conselheiro Rosa e Silva,avenida,1.0
Gracas,Monteiro,Av. Conselheiro Rosa e Silva+Estr. do Arraial,avenida+avenida,2.0
Gracas,Parnamirim,Av. Conselheiro Rosa e Silva,avenida,1.0
Gracas,Poco,Av. Conselheiro Rosa e Silva+Av. Dezessete de Agosto,avenida+avenida,2.0
Gracas,Santana,Av. Conselheiro Rosa e Silva+R. Leonardo Bezerra Cavalcante,avenida+rua,3.0
Gracas,Sitio Dos Pintos,Av. Conselheiro Rosa e Silva+Estr. do Arraial+R. de Apipucos+R. Manuel Medeiros,rua+rua+avenida+avenida,6.0
Gracas,Tamarineira,Av. Conselheiro Rosa e Silva+Av. Santos Dumont,avenida+avenida,2.0
Jaqueira,Monteiro,Av. Dezessete de Agosto,avenida,1.0
Jaqueira,Parnamirim,R. do Futuro,rua,2.0
Jaqueira,Poco,R. Leonardo Bezerra Cavalcante+Av. Dezessete de Agosto,rua+avenida,3.0
Jaqueira,Santana,R. Leonardo Bezerra Cavalcante,rua,2.0
Jaqueira,Sitio Dos Pintos,Av. Conselheiro Rosa e Silva+Estr. do Arraial+R. de Apipucos+R. Manuel Medeiros,avenida+avenida+rua+rua,6.0
Jaqueira,Tamarineira,R. Cônego Barata,rua,2.0
Monteiro,Parnamirim,Estr. do Encanamento,avenida,1.0
Monteiro,Poco,Av. Dezessete de Agosto+Rua Luiz Guimarães,avenida+rua,3.0
Monteiro,Santana,Av. Dezessete de Agosto,avenida,1.0
Monteiro,Sitio Dos Pintos,R. Dois Irmaos+Estr. dos Pintos,rua+avenida,3.0
Monteiro,Tamarineira,Estr. do Encanamento+R. Conega Barata,avenida+rua,3.0
Parnamirim,Poco,Av. Dezessete de Agosto+R. Leonardo Bezerra,avenida+rua,3.0
Parnamirim,Santana,R. Leonardo Bezerra Cavalcante,rua,2.0
Parnamirim,Sitio Dos Pintos,Estr. do Arraial+R. de Apipucos+R. Dois Irmaos+Estr. dos Pintos,avenida+rua+rua+avenida,6.0
Parnamirim,Tamarineira,R. Conego Barata,rua,2.0
Poco,Santana,R. Sant'Anna,rua,2.0
Poco,Sitio Dos Pintos,R. de Apipucos+R. Dois Irmãos+R. Manuel de Medeiros,rua+rua+rua,6.0
Poco,Tamarineira,Av. Dezessete de Agosto,avenida,1.0
Santana,Sitio Dos Pintos,Av. Dezessete de Agosto+R. de Apipucos+R. Dois Irmãos,avenida+rua+avenida,4.0
Santana,Tamarineira,R. Afonso de Albuquerque Melo,rua,2.0
Sitio Dos Pintos,Tamarineira,Estr. dos Pintos+R. Manuel de Medeiros+Av. Norte Miguel Arraes de Alencar,avenida+rua+avenida,4.0
Alto Jose Bonifacio,Alto Jose Do Pinho,R. Alto Jose Bonifacio,1 rua,2
Alto Jose Bonifacio,Mangabeira,Rua Corrego do Bartolomeu+R. Descida da Macaiba+R. Severino Bernardino Pereira,3 ruas,6
Alto Jose Bonifacio,Morro Da Conceicao,R. Alto Jose Bonifacio,1 rua,2
Alto Jose Bonifacio,Vasco Da Gama,R. Corrego do Euclides+R. Corrego do Ouro,2 ruas,4
Alto Jose Do Pinho,Mangabeira,R. Severino Bernardino Pereira,1 rua,2
Alto Jose Do Pinho,Morro Da Conceicao,Av. Norte Miguel Arraes de Alencar,1 avenida,1
Alto Jose Do Pinho,Vasco Da Gama,Av. Norte Miguel Arraes de Alencar,1 avenida,1
Mangabeira,Morro Da Conceicao,R. Luis Gonzaga de Souza+R. Manoel Apolinario+R. Cabo Epitacio Lucena+Av. Norte Miguel Arraes de Alencar,3 ruas + 1 avenida,7
Mangabeira,Vasco Da Gama,R. Luis Gonzaga de Souza+R. Manoel Apolinario+R. Cabo Epitacio Lucena+Av. Norte Miguel Arraes de Alencar,3 ruas + 1 avenida,7
Morro Da Conceicao,Vasco Da Gama,Av. Norte Miguel Arraes de Alencar,1 avenida,1
Brejo Da Guabiraba,Brejo De Beberibe,R. do Brejo+Av. Beberibe,1av + 1rua,3.0
Brejo Da Guabiraba,Corrego Do Jenipapo,R. do Brejo+R. do Jenipapo,2ruas,4.0
Brejo Da Guabiraba,Guabiraba,R. do Brejo+Av. Guabiraba,1av + 1rua,3.0
Brejo Da Guabiraba,Macaxeira,Av. Beberibe+Av. Norte,2av,2.0
Brejo Da Guabiraba,Nova Descoberta,Av. Beberibe+R. Nova Descoberta,1av + 1rua,3.0
Brejo Da Guabiraba,Passarinho,Av. Beberibe+Est. do Passarinho,1av + 1rua,3.0
Brejo Da Guabiraba,Pau-Ferro,Av. Beberibe+Estrada de Aldeia,1av + 1rua,3.0
Brejo De Beberibe,Corrego Do Jenipapo,Av. Beberibe+R. do Jenipapo,1av + 1rua,3.0
Brejo De Beberibe,Guabiraba,Av. Beberibe+Av. Guabiraba,2av,2.0
Brejo De Beberibe,Macaxeira,Av. Beberibe+Av. Norte,2av,2.0
Brejo De Beberibe,Nova Descoberta,Av. Beberibe+R. Nova Descoberta,1av + 1rua,3.0
Brejo De Beberibe,Passarinho,Av. Beberibe+Est. do Passarinho,1av + 1rua,3.0
Brejo De Beberibe,Pau-Ferro,Av. Beberibe+Estrada de Aldeia,1av + 1rua,3.0
Corrego Do Jenipapo,Guabiraba,R. do Jenipapo+Av. Guabiraba,1av + 1rua,3.0
Corrego Do Jenipapo,Macaxeira,R. do Jenipapo+Av. Norte,1av + 1rua,3.0
Corrego Do Jenipapo,Nova Descoberta,R. do Jenipapo+R. Nova Descoberta,2ruas,4.0
Corrego Do Jenipapo,Passarinho,R. do Jenipapo+Est. do Passarinho,2ruas,4.0
Corrego Do Jenipapo,Pau-Ferro,R. do Jenipapo+Estrada de Aldeia,2ruas,4.0
Guabiraba,Macaxeira,Av. Guabiraba+Av. Norte,2av,2.0
Guabiraba,Nova Descoberta,Av. Guabiraba+R. Nova Descoberta,1av + 1rua,3.0
Guabiraba,Passarinho,Av. Guabiraba+Est. do Passarinho,1av + 1rua,3.0
Guabiraba,Pau-Ferro,Av. Guabiraba+Estrada de Aldeia,1av + 1rua,3.0
Macaxeira,Nova Descoberta,Av. Norte+R. Nova Descoberta,1av + 1rua,3.0
Macaxeira,Passarinho,Av. Norte+Est. do Passarinho,1av + 1rua,3.0
Macaxeira,Pau-Ferro,Av. Norte+Estrada de Aldeia,1av + 1rua,3.0
Nova Descoberta,Passarinho,R. Nova Descoberta+Est. do Passarinho,2ruas,4.0
Nova Descoberta,Pau-Ferro,R. Nova Descoberta+Estrada de Aldeia,2ruas,4.0
Passarinho,Pau-Ferro,Est. do Passarinho+Estrada de Aldeia,2ruas,4.0
Cordeiro,Ilha Do Retiro,Av. Caxanga ,1 avenidas,1
Cordeiro,Iputinga,Av. Caxanga+R. Sao Mateus ,1 aveinida+1 rua ,3
Cordeiro,Madalena,Av. Caxanga+R. Benfica,1 avenida+1 rua,3
Cordeiro,Prado,Av.Caxanga+R. Gomes Taborda,1 avenida+1 rua,3
Cordeiro,Torre,Av. Caxanga+R. Souza Bandeira+R. Lagoa do Rancho,1 avenida+2 ruas,5
Cordeiro,Zumbi,Av. Caxanga ,1 avenida,1
Cordeiro,Engenho Do Meio, R. Dr. Miguel Vieira Ferreira+R. Gov. Lopo Garro+R. Lindolfo Color,3 ruas,6
Cordeiro,Torroes,Estr. do Forte do Arraial Novo do Bom Jesus+R. Angelica+R. da Olaria,3 ruas,6
Cordeiro,Caxanga,Av. Caxanga+R. Francisco Torres,1 avenida + 1 rua,3
Cordeiro,Cidade Universitaria, Estr. do Forte do Arraial Novo do Bom Jesus+Tv. Washington Duarte Espíndola+Av. Visc. de Sao Leopoldo+Av. Reitor Joaquim Amazonas,3 avenida+1 rua,5
Cordeiro,Varzea, Estr. do Forte do Arraial Novo do Bom Jesus+Tv. Washington Duarte Espíndola+Av. Visc. de Sao Leopoldo+Av. Reitor Joaquim Amazonas+R. Amaro Gomes Poroca,3 avenida+2 rua,7
Ilha Do Retiro,Iputinga,R. Jose Osario+Av. Caxanga,1 avenida+1 rua,3
Ilha Do Retiro,Madalena,R. Benfica+R. Jose Osorio,2 ruas,4
Ilha Do Retiro,Prado,BR-232+R. Joao Elisio Ramos,Br+1 rua,2.5
Ilha Do Retiro,Torre,Av. Beira Rio+Rua Conde de Iraja,1 avenida +1 rua,3
Ilha Do Retiro,Zumbi,BR-232+R. Gomes Taborda,Br+1 rua,2.5
Ilha Do Retiro,Engenho Do Meio,Av. Gen. San Martin+BR-232,Br+1 avenida,1.5
Ilha Do Retiro,Torroes,BR-232+R. Onze de Fevereiro,Br+1 rua,2.5
Ilha Do Retiro,Caxanga,Av. Caxanga+R. Jose Osorio,1 avenida+1 rua,3
Ilha Do Retiro,Cidade Universitaria, BR-232,Br,0.5
Ilha Do Retiro,Varzea, BR-232+R. Amaro Gomes Poroca,Br +1 rua,2.5
Iputinga,Madalena,Av. Maurício de Nassau+R. Real da Torre,1 avenida+1 rua,3
Iputinga,Prado,Av. Caxanga+R. Carlos Gomes,1 avenida+1 rua,3
Iputinga,Torre,Av. Maurício de Nassau+R. 10 de Novembro+R. Prof. Trajano de Mendonca,1 avenida+2 ruas,5
Iputinga,Zumbi,Av. Caxanga+R. Sao Mateus,1 avenida+1 rua,3
Iputinga,Engenho Do Meio,R. Sao Mateus+R. Antonio Curado,2 ruas,4
Iputinga,Torroes,Av. Mauricio de Nassau+Av. Inacio Monteiro,2 avenidas,2
Iputinga,Caxanga,Av. Caxanga+Estr. do barbalho,1 avenida+1 rua,3
Iputinga,Cidade Universitaria,R. Antonio Curado+ R. Sao Mateus,2 ruas,4
Iputinga,Varzea,Av. Prof. Moraes Rego+Av. Prof. Artur de Sa+R. Amaro Gomes Poroca,2 avenidas+1 rua,4
Madalena,Prado,R. Joao Ivo da Silva,1 rua,2
Madalena,Torre,R. José Osorio+R. Ernani Braga+R. Pio IX,3 ruas,6
Madalena,Zumbi,R. Jose Osorio+Av. Caxanga,1 avenida+1 rua,3
Madalena,Engenho Do Meio, BR-232+R. João Ivo da Silva,Br+1 rua,2.5
Madalena,Torroes, BR-232+R. João Ivo da Silva,Br+1 rua,2.5
Madalena,Caxanga,Av. Caxanga,1 avenida,1
Madalena,Cidade Universitaria,Av. Caxanga+Av. Gen. San Martin+BR-232,2 avenidas+Br,2.5
Madalena,Varzea,Av. Caxanga+ Av. Luis de Lacerda,2 avenidas,2
Prado,Torre,BR-232+R. Xavier Sobrinho+R. Gregorio Junior+R. Souza Bandeira ,Br+3 ruas,6.5
Prado,Zumbi,R. Gomes Taborda+R. Fidelis Moliterno,2 ruas,4
Prado,Engenho Do Meio,Tv. Washington Duarte Espíndola+BR-232,Br+1 rua,2.5
Prado,Torroes,BR-232,Br,0.5
Prado,Caxanga,BR-232+Av. Gen. San Martin+ R. Gomes Taborda+R. Claudio Brotherhood+Av. Caxanga,Br+2 avenidas+ 2 ruas,6.5
Prado,Cidade Universitaria,BR-232+Av. Reitor Joaquim Amazonas,Br+1 avenida,1.5
Prado,Varzea,BR-232+Av. Reitor Joaquim Amazonas+Av. dos Economistas+Av. Prof. Artur de Sa,Br+ 3 avenidas,3.5
Torre,Zumbi,"R. Real da Torre+Rua Conde de Iraja+Rua Conselheiro Theodoro
",3 ruas,6
Torre,Engenho Do Meio,R. Real da Torre+R. João Ivo da Silva+BR-232+Tv. Washington Duarte Espíndola,3 ruas+Br,6.5
Torre,Torroes,R. Real da Torre+R. João Ivo da Silva+BR-232,2 ruas +Br,4.5
Torre,Caxanga,R. Odete Monteiro+R. Dr. João Lacerda+Av. Caxanga,1 avenida+2 ruas,5
Torre,Cidade Universitaria,R. Real da Torre+R. João Ivo da Silva+BR-232+Tv. Washington Duarte Espíndola+Av. Visc. de São Leopoldo,3 ruas+1 avenida,7
Torre,Varzea,R. Odete Monteiro+R. Dr. João Lacerda+Av. Caxanga+Av. Luís de Lacerda+R. Gen. Polidoro,3 ruas+2 avenidas,8
Zumbi,Engenho Do Meio,R. Caratinga+R. Gomes Taborda+R. Xavier Sobrinho+BR-232+Tv. Washington Duarte Espíndola,4 ruas+Br,8.5
Zumbi,Torroes,R. Caratinga+R. Gomes Taborda+R. Xavier Sobrinho+BR-232,3 ruas+Br,6.5
Zumbi,Caxanga,Av. Caxanga,1 avenida,1
Zumbi,Cidade Universitaria,R. Caratinga+R. Gomes Taborda+R. Xavier Sobrinho+BR-232+Tv. Washington Duarte Espíndola,4 ruas+Br,8.5
Zumbi,Varzea,Av. Caxanga+Av. Luis de Lacerda+R. Gen. Polidoro+Av. Prof. Artur de Sa+R. Acdo. Hélio Ramos+R. Amaro Gomes Poroca,3 avenidas+ 3 ruas,9
Engenho Do Meio,Torroes,R. Manuel Alves Deus Dara,1 rua ,2
Engenho Do Meio,Caxanga,R. Antonio Curado+R. Manoel Estevao da Costa+R. Bom Pastor+Av. Caxanga,3 ruas+1 avenida,7
Engenho Do Meio,Cidade Universitaria,R. Manoel Corte Real+Av. Visc. de São Leopoldo,1 rua+1 avenida,3
Engenho Do Meio,Varzea,R. Manoel Corte Real+Av. Visc. de São Leopoldo+Av. Prof. Luiz Freire,1 rua+2 avenidas,4
Torroes,Caxanga,Av. Bicentenario da Revolução Francesa+R. Manuel Alves Deus Dara+Av. Visc. de Sao Leopoldo+Av. Prof. Moraes Rego+Av. Caxanga,4 avenidas+1 rua,7
Torroes,Cidade Universitaria,Av. Bicentenário da Revolução Francesa+R. Manuel Alves Deus Dara+Av. Visc. de São Leopoldo ,2 avenidas+1 rua,4
Torroes,Varzea,Av. Bicentenário da Revolução Francesa+R. Manuel Alves Deus Dara+Av. Visc. de São Leopoldo+Av. Prof. Luiz Freire ,3 avenidas+1 rua,5
Caxanga,Cidade Universitaria, Av. Caxanga+Av. Prof. Moraes Rego,2 avenidas,2
Caxanga,Varzea," Av. Caxanga+Av. Afonso Olindense
",2 avenidas,2
Cidade Universitaria,Varzea,Av. Prof. Artur de Sa,1 avenida,1
Afogados,Bongi,R. Vinte Um de Abril+Av. Manoel Gonçalves da Luz,1rua+1av,3.0
Afogados,Mangueira,R. Vinte Um de Abril+R. Aurino Eutiquio da Rocha,2ruas,4.0
Afogados,Mustardinha,R. Vinte Um de Abril+Av. Manoel Gonçalves da Luz+R. Joana Francisca de Azevedo,2ruas+1av,5.0
Afogados,San Martin,R. Vinte Um de Abril,1rua,2.0
Afogados,Areias,PE-007+Estr. dos Remedios,1rua+1pe,2.5
Afogados,Cacote,PE-007+Estr. dos Remedios+R. Ipojuca+R. Cambuca,1pe+3ruas,6.5
Afogados,Estancia,PE-007+Estr. dos Remedios,1rua+1pe,2.5
Afogados,Jiquia,PE-007+Estr. dos Remedios,1rua+1pe,2.5
Afogados,Barro,PE-007+Estr. dos Remedios,1rua+1pe,2.5
Afogados,Coqueiral,PE-007+Estr. dos Remedios+R. Aprigio Guimaraes,1pe+2ruas,4.5
Afogados,Curado,PE-007+Estr. dos Remedios+Av. Recife,1pe+1rua+1av,3.5
Afogados,Jardim Sao Paulo,R. Vinte e um de Abril+Av. Gen. San Martin,1rua+1av,3.0
Afogados,Sancho,PE-007+R. do Sancho,1pe+1rua,2.5
Afogados,Tejipio,PE-007+R. do Sancho,1pe+1rua,2.5
Afogados,Toto,PE-007+Av.Liberdade,1pe+1av,1.5
Bongi,Mangueira,Av. Manoel Gonçalves da Luz,1av,1.0
Bongi,Mustardinha,Av. Manoel Gonçalves da Luz,1av,1.0
Bongi,San Martin,Av. Manoel Gonçalves da Luz+R. Vinte Um de Abril,1av+1rua,3.0
Bongi,Areias,Av. Manoel Gonçalves da Luz+PE-007,1av+1pe,1.5
Bongi,Cacote,Av. Manoel Gonçalves da Luz+PE-007+Av. Recife,2av+1pe,2.5
Bongi,Estancia,Av. Manoel Gonçalves da Luz+PE-007,1av+1pe,1.5
Bongi,Jiquia,Av. Manoel Gonçalves da Luz+PE-007,1av+1pe,1.5
Bongi,Barro,R. Isaac Markman+Av. Consul Vilares Fragoso+R. Quinze de Março+BR-232+BR-101,2ruas+1av+2br,6.0
Bongi,Coqueiral,R. Dr. Severino Jatoba+BR-232+R. Onze de Agosto,2ruas+1br,4.5
Bongi,Curado,R. Dr. Severino Jatoba+BR-232,1rua+1br,2.5
Bongi,Jardim Sao Paulo,Av. Manoel Gonçalves da Luz+R. Vinte Um de Abril+Av. Gen. San Martin,2av+1rua,4.0
Bongi,Sancho,R. Dr. Severino Jatoba+BR-232+BR-101+Av. Dr. Jose Rufino+R. do Sancho,2ruas+2br+1av,6.0
Bongi,Tejipio,R. Isaac Markman+Av. Consul Vilares Fragoso+Av. Gen. San Martin+Av. Joao Cabral de Melo Neto+R. Leandro Barreto,2ruas+3av,7.0
Bongi,Toto,R. Isaac Markman+R. Itapemirim+Av. Consul Vilares Fragoso+R. Quinze de Março+BR-232+R. Onze de Agosto,4ruas+1br+1av,9.5
Mangueira,Mustardinha,Av. Manoel Gonçalves da Luz,1av,1.0
Mangueira,San Martin,R. Vinte Um de Abril,1rua,2.0
Mangueira,Areias,Av. Central+PE-007,1av+1pe,1.5
Mangueira,Cacote,Av. Central+PE-007+R. Ipojuca+R. Cambuca,1av+1pe+2ruas,5.5
Mangueira,Estancia,Av. Central+PE-007,1av+1pe,1.5
Mangueira,Jiquia,Av. Central+PE-007,1av+1pe,1.5
Mangueira,Barro,Av. Central+PE-007,1av+1pe,1.5
Mangueira,Coqueiral,R. Vinte Um de Abril+Av. Gen San Martin+R. Leandro Barreto+R. Aprigio Guimaraes,3ruas+1av,7.0
Mangueira,Curado,PE-007+Av. Recife,1pe+1av,1.5
Mangueira,Jardim Sao Paulo,R. Ten. Mindelo+Av. Gen. San Martin,1rua+1av,3.0
Mangueira,Sancho,R. Vinte Um de Abril+Av. Gen San Martin+R. Leandro Barreto+Av. Liberdade,2ruas+2av,6.0
Mangueira,Tejipio,Av. Central+PE-007,1av+1pe,1.5
Mangueira,Toto,R. Vinte Um de Abril+Av. Gen San Martin+R. Leandro Barreto+Av. Liberdade,2ruas+2av,6.0
Mustardinha,San Martin,R. Jose Bezerra Cavalcante,1rua,2.0
Mustardinha,Areias,R. Dr. Joao Elisio+PE-007,1rua+1pe,2.5
Mustardinha,Cacote,R. Dr. Joao Elisio+PE-007+R. Ipojuca,2ruas+1pe,4.5
Mustardinha,Estancia,R. Dr. Joao Elisio+PE-007,1rua+1pe,2.5
Mustardinha,Jiquia,R. Dr. Joao Elisio+PE-007,1rua+1pe,2.5
Mustardinha,Barro,Av. Consul Vilares Fragoso+Av. Gen. San Martin+Viaduto Ceasa+BR-101,2av+1viaduto+1br,3.0
Mustardinha,Coqueiral,R. Dr. Jose Elisio+PE-007+R. Aprigio Guimaraes+R. do Sancho,3ruas+1pe,6.5
Mustardinha,Curado,R. Vinte Um de Abril+Av. Gen. San Martin+Av. Recife,1rua+2av,4.0
Mustardinha,Jardim Sao Paulo,R. Vinte Um de Abril+Av. Gen. San Martin+Av. Recife,1rua+2av,4.0
Mustardinha,Sancho,R. Vinte Um de Abril+Av. Gen. San Martin+Viaduto Ceasa+BR-101+PE-007+R. do Sancho,2ruas+1av+1viaduto+1br+1pe,6.5
Mustardinha,Tejipio,R. Vinte Um de Abril+Av. Gen. San Martin+Viaduto Ceasa+BR-101+PE-007,1rua+1av+1viaduto+1br+1pe,4.5
Mustardinha,Toto,R. Vinte Um de Abril+Av. Gen. San Martin+Av. Recife+BR-232+R. Onze de Agosto,2ruas+2av+1br,6.5
San Martin,Areias,Av. Gen. San Martin+Av. Recife,2av,2.0
San Martin,Cacote,Av. Gen. San Martin+Av. Recife+Av. Cap. Gregorio de Caldas,3av,3.0
San Martin,Estancia,Av. Gen. San Martin,1av,1.0
San Martin,Jiquia,Av. Gen. San Martin,1av,1.0
San Martin,Barro,Av. Gen. San Martin+Av. Recife+PE-007,2av+1pe,2.5
San Martin,Coqueiral,Av. Gen. San Martin+Av. Recife+PE-007+Av. Dr. Jose Rufino+R. Aprigio Guimaraes,3av+1rua,5.0
San Martin,Curado,Av. Gen. San Martin+Av. Recife,2av,2.0
San Martin,Jardim Sao Paulo,Av. Gen. San Martin,1av,1.0
San Martin,Sancho,Av. Gen. San Martin+Av. Recife+PE-007+R. do Sancho,2av+1pe+1rua,4.5
San Martin,Tejipio,Av. Gen. San Martin+R. Leandro Barreto,1av+1rua,3.0
San Martin,Toto,Av. Gen. San Martin+R. Leandro Barreto+Av. Liberdade,2av+1rua,4.0
Areias,Cacote,Av. Ten. Felipe Bandeira de Melo,1av,1.0
Areias,Estancia,Av. Recife,1av,1.0
Areias,Jiquia,Av. Recife,1av,1.0
Areias,Barro,Av. Izabel de Goes+R. Ipojuca+Av. Dr. Jose Rufino,2av+1rua,4.0
Areias,Coqueiral,PE-007+R. do Sancho+R. Aprigio Guimaraes,1pe+2ruas,4.5
Areias,Curado,Av. Recife,1av,1.0
Areias,Jardim Sao Paulo,Av. Sao Paulo,1av,1.0
Areias,Sancho,PE-007+R. do Sancho+R. Aprigio Guimaraes,1pe+2ruas,4.5
Areias,Tejipio,PE-007,1pe,0.5
Areias,Toto,PE-007+Av. Liberdade,1pe+1av,1.5
Cacote,Estancia,Av. Recife,1av,1.0
Cacote,Jiquia,Av. Recife,1av,1.0
Cacote,Barro,R. Ipojuca+PE-007+BR-101,1rua+1pe+1br,3.0
Cacote,Coqueiral,R. Ipojuca+PE-007+R. do Sancho+R. Aprigio Guimaraes,3ruas,6.0
Cacote,Curado,R. Ipojuca+PE-007+BR-101,1rua+1pe+1br,3.0
Cacote,Jardim Sao Paulo,R. Ipojuca+PE-007+BR-101,1rua+1pe+1br,3.0
Cacote,Sancho,R. Ipojuca+PE-007+R. do Sancho,2ruas+1pe,4.5
Cacote,Tejipio,R. Ipojuca+PE-007,1rua+1pe,2.5
Cacote,Toto,R. Ipojuca+PE-007+Av. Liberdade,1rua+1pe+1av,3.5
Estancia,Jiquia,Av. Dr. Jose Rufino,1av,1.0
Estancia,Barro,R. Barros Sobrinho+PE-007,1rua+1pe,2.5
Estancia,Coqueiral,R. Barros Sobrinho+PE-007+R. Aprigio Guimaraes,2ruas+1pe,4.5
Estancia,Curado,Av. Recife,1av,1.0
Estancia,Jardim Sao Paulo,R. Senador Alberto Pasqualini,1rua,2.0
Estancia,Sancho,R. Barros Sobrinho+PE-007+R. Aprigio Guimaraes,2ruas+1pe,4.5
Estancia,Tejipio,R. Barros Sobrinho+PE-007,1rua+1pe,2.5
Estancia,Toto,Av. Recife+BR-232+R. Onze de Agosto,1av+1br+1rua,3.5
Jiquia,Barro,PE-007,1pe,0.5
Jiquia,Coqueiral,PE-007+R. Aprigio Guimaraes+R. do Sancho,1pe+2ruas,4.5
Jiquia,Curado,Av. Recife,1av,1.0
Jiquia,Jardim Sao Paulo,PE-007+R. Jose Natario,1pe+1rua,2.5
Jiquia,Sancho,PE-007+R. do Sancho,1pe+1rua,2.5
Jiquia,Tejipio,PE-007,1pe,0.5
Jiquia,Toto,PE-007+Av. Liberdade,1pe+1av,1.5
Barro,Coqueiral,R. Quinze de Novembro,1rua,2.0
Barro,Curado,BR-101,1br,0.5
Barro,Jardim Sao Paulo,BR-101,1br,0.5
Barro,Sancho,R. Papa Joao XXIII,1rua,2.0
Barro,Tejipio,R. do Sancho,1rua,2.0
Barro,Toto,BR-101+Av. Liberdade,1br+1av,1.5
Coqueiral,Curado,R. Onze de Agosto+BR-232,1rua+1br,2.5
